,,r2,MAE,RMSE
Water_Absorption_%,KNeighborsRegressor,"(0.27408640511326177, 0.5466195916042038)","(0.4483624333706794, 0.07813821458958067)","(0.32581845384544483, 0.12345588450473914)"
Water_Absorption_%,GaussianProcessRegressor,"(0.4629828280823137, 0.4230169270496008)","(0.36380690037937063, 0.11163718162374377)","(0.2536528499825323, 0.17817046146343676)"
Water_Absorption_%,XGBRegressor,"(0.3858392134453884, 0.516383224160991)","(0.4223950642135227, 0.07697524765645936)","(0.28783683033446833, 0.14993352360742138)"
Water_Absorption_%,RandomForestRegressor,"(0.23987019448502647, 0.9258363609786341)","(0.4076556220818189, 0.09453764237534128)","(0.3053448793308774, 0.16597956551367815)"
Water_Absorption_%,Ridge,"(0.18704183051075957, 0.7116384198113537)","(0.4639040389045572, 0.15220804779413266)","(0.41623942363304633, 0.38420130509111167)"
Water_Absorption_%,Lasso,"(0.1755589987887903, 0.678515338931009)","(0.4734322455212868, 0.10653438530405089)","(0.41145582198127073, 0.31845449625217787)"
Water_Absorption_%,ElasticNet,"(0.35220950360636627, 0.5461620743094652)","(0.4176330920466266, 0.10341879307813036)","(0.3043129508607313, 0.17837366126741147)"
Hardness,KNeighborsRegressor,"(0.5876879975443845, 0.21296741940462022)","(11.02929816822301, 3.5817683792347585)","(224.2673805222817, 196.08707459483745)"
Hardness,GaussianProcessRegressor,"(0.5552114240918543, 0.32448300800406277)","(10.40354182412484, 2.9566182956136107)","(207.365107288351, 139.89008588025382)"
Hardness,XGBRegressor,"(0.4450888078794014, 0.39372520708015335)","(12.529269421961429, 5.303581196601133)","(303.19061863508904, 261.3190084066085)"
Hardness,RandomForestRegressor,"(0.4628462141734385, 0.39246410457746944)","(11.86861235096043, 4.54937675329591)","(302.46182319585483, 352.3481384527301)"
Hardness,Ridge,"(0.1727738014201772, 0.4558014227599691)","(14.77826056382393, 4.1708476300270965)","(419.99784937056484, 290.88570027315234)"
Hardness,Lasso,"(0.05834393538365958, 0.35874736318393197)","(15.999030061097073, 2.2840500720476316)","(444.7706204448453, 200.45952509439618)"
Hardness,ElasticNet,"(0.09562848078762895, 0.839828502026509)","(14.410776977888602, 4.397449619792256)","(418.82565716986136, 300.6140307818233)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(0.0805740570604446, 0.6836718652063669)","(9.165869042496096, 6.659076381506412)","(245.27468856397567, 442.22173984610004)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.6447214745716032, 2.0693790342139455)","(10.135175367909609, 6.7294315167396235)","(301.96110806522023, 453.1957898808537)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(0.1526965277280845, 0.3403559491638104)","(8.081089642992266, 5.703186491804597)","(224.37789589435033, 358.9638915999235)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.34906667472811714, 1.3156260542494806)","(8.864933181125066, 5.212487064156746)","(243.5053927751106, 350.9322370766609)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.08126757743800957, 0.5904255451069974)","(9.221731474791731, 6.368354968376019)","(240.7290857947756, 426.78517978078816)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.0528701450276692, 0.6285379702086777)","(9.124452359123088, 6.19831483144537)","(239.48526116771853, 433.45930587817065)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(0.05003800690200738, 0.5249080437609305)","(8.739048931219486, 6.619166929691068)","(243.65744380173365, 439.9735450835886)"
